,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Marker
40,-68605.48330610793,-65837.30916229596,-100397.88936351411,-83565.61762876721,-76159.50121396795,-69249.45941560977,-64800.32233003645,-79948.23365786478,-45893.33932320349,-53932.01010608794,-45933.28189054512,-125550.35210256006,-91938.37993602514,-81666.85928903334,-61129.02595150781,-70128.79939422601,0
41,-68565.00429689937,-65830.536583726,-100403.63376183913,-83571.27262011441,-76145.7772428724,-69231.55566830107,-64790.86754213185,-79931.26868382319,-45894.61337263744,-53938.134484068694,-46029.61790914749,-125317.87160848042,-91935.07187784575,-81666.4793093776,-61128.71302708543,-70132.7556529946,0
42,-68565.00429689937,-65830.536583726,-100403.63376183913,-83571.27262011441,-76145.7772428724,-69231.55566830107,-64790.86754213185,-79931.26868382319,-45894.61337263744,-53938.134484068694,-46029.61790914749,-125317.87160848042,-91935.07187784575,-81666.4793093776,-61128.71302708543,-70132.7556529946,0
43,-68565.00429689937,-65830.536583726,-100403.63376183913,-83571.27262011441,-76145.7772428724,-69231.55566830107,-64790.86754213185,-79931.26868382319,-45894.61337263744,-53938.134484068694,-46029.61790914749,-125317.87160848042,-91935.07187784575,-81666.4793093776,-61128.71302708543,-70132.7556529946,0
44,-68565.00429689937,-65830.536583726,-100403.63376183913,-83571.27262011441,-76145.7772428724,-69231.55566830107,-64790.86754213185,-79931.26868382319,-45894.61337263744,-53938.134484068694,-46029.61790914749,-125317.87160848042,-91935.07187784575,-81666.4793093776,-61128.71302708543,-70132.7556529946,0
45,-68560.82452068622,-65825.79801390148,-100386.15469767508,-83561.1249281317,-76127.62762637468,-69234.28258112461,-64790.42050724274,-79954.69331201236,-45857.21890416371,-53914.41928320161,-46093.901526200956,-124552.905506242,-91912.943650835,-81647.27916089048,-61098.49346858186,-70141.56224030998,0
46,-68560.82452068622,-65825.79801390148,-100386.15469767508,-83561.1249281317,-76127.62762637468,-69234.28258112461,-64790.42050724274,-79954.69331201236,-45857.21890416371,-53914.41928320161,-46093.901526200956,-124552.905506242,-91912.943650835,-81647.27916089048,-61098.49346858186,-70141.56224030998,0
47,-68560.82452068622,-65825.79801390148,-100386.15469767508,-83561.1249281317,-76127.62762637468,-69234.28258112461,-64790.42050724274,-79954.69331201236,-45857.21890416371,-53914.41928320161,-46093.901526200956,-124552.905506242,-91912.943650835,-81647.27916089048,-61098.49346858186,-70141.56224030998,0
48,-68560.82452068622,-65825.79801390148,-100386.15469767508,-83561.1249281317,-76127.62762637468,-69234.28258112461,-64790.42050724274,-79954.69331201236,-45857.21890416371,-53914.41928320161,-46093.901526200956,-124552.905506242,-91912.943650835,-81647.27916089048,-61098.49346858186,-70141.56224030998,0
49,-68560.82452068622,-65825.79801390148,-100386.15469767508,-83561.1249281317,-76127.62762637468,-69234.28258112461,-64790.42050724274,-79954.69331201236,-45857.21890416371,-53914.41928320161,-46093.901526200956,-124552.905506242,-91912.943650835,-81647.27916089048,-61098.49346858186,-70141.56224030998,0
50,-68586.48432332091,-65774.14313246527,-100324.68740042299,-83511.03466880735,-76078.87847171766,-69181.46540897673,-64736.86572752783,-79880.9549070543,-45849.55225581554,-53881.226942685484,-46168.73516663732,-123283.92991828083,-91885.69687434398,-81620.79234371094,-61072.587796758155,-70112.41556554027,0
51,-68586.48432332091,-65774.14313246527,-100324.68740042299,-83511.03466880735,-76078.87847171766,-69181.46540897673,-64736.86572752783,-79880.9549070543,-45849.55225581554,-53881.226942685484,-46168.73516663732,-123283.92991828083,-91885.69687434398,-81620.79234371094,-61072.587796758155,-70112.41556554027,0
52,-68586.48432332091,-65774.14313246527,-100324.68740042299,-83511.03466880735,-76078.87847171766,-69181.46540897673,-64736.86572752783,-79880.9549070543,-45849.55225581554,-53881.226942685484,-46168.73516663732,-123283.92991828083,-91885.69687434398,-81620.79234371094,-61072.587796758155,-70112.41556554027,0
53,-68586.48432332091,-65774.14313246527,-100324.68740042299,-83511.03466880735,-76078.87847171766,-69181.46540897673,-64736.86572752783,-79880.9549070543,-45849.55225581554,-53881.226942685484,-46168.73516663732,-123283.92991828083,-91885.69687434398,-81620.79234371094,-61072.587796758155,-70112.41556554027,0
54,-68583.0868581637,-65777.96528076712,-100330.40944700355,-83522.25524452391,-76093.1612364246,-69183.63352818889,-64730.65194256925,-79874.38349418444,-45841.50562781163,-53865.33485237776,-46198.48533850734,-122593.37277333412,-91896.15749074907,-81604.74379119204,-61052.672392448476,-70041.31466642793,0
55,-68608.3890328871,-65771.34916440836,-100312.30453399474,-83510.34176472924,-76074.11755014867,-69186.47219973472,-64728.41676812372,-79892.26488974868,-45830.73208698417,-53865.714832033496,-46225.28508010925,-122134.04442477757,-91881.69591208648,-81604.92260514767,-61048.98435461335,-70064.69459112818,0
56,-68608.3890328871,-65771.34916440836,-100312.30453399474,-83510.34176472924,-76074.11755014867,-69186.47219973472,-64728.41676812372,-79892.26488974868,-45830.73208698417,-53865.714832033496,-46225.28508010925,-122134.04442477757,-91881.69591208648,-81604.92260514767,-61048.98435461335,-70064.69459112818,0
57,-68608.3890328871,-65771.34916440836,-100312.30453399474,-83510.34176472924,-76074.11755014867,-69186.47219973472,-64728.41676812372,-79892.26488974868,-45830.73208698417,-53865.714832033496,-46225.28508010925,-122134.04442477757,-91881.69591208648,-81604.92260514767,-61048.98435461335,-70064.69459112818,0
58,-68608.3890328871,-65771.34916440836,-100312.30453399474,-83510.34176472924,-76074.11755014867,-69186.47219973472,-64728.41676812372,-79892.26488974868,-45830.73208698417,-53865.714832033496,-46225.28508010925,-122134.04442477757,-91881.69591208648,-81604.92260514767,-61048.98435461335,-70064.69459112818,0
59,-68540.28326753179,-65758.63102181329,-100291.7185773514,-83508.57597691727,-76066.62971575615,-69162.3770192119,-64720.48189884209,-79859.8995637774,-45799.2608307911,-53840.70322998801,-46251.77189728879,-121569.84169123671,-91857.01958620783,-81573.04901755441,-61010.517002405766,-69998.48872405157,0
60,-68540.28326753179,-65758.63102181329,-100291.7185773514,-83508.57597691727,-76066.62971575615,-69162.3770192119,-64720.48189884209,-79859.8995637774,-45799.2608307911,-53840.70322998801,-46251.77189728879,-121569.84169123671,-91857.01958620783,-81573.04901755441,-61010.517002405766,-69998.48872405157,0
